date,goalCompletionLocation,goalPreviousStep1,goalPreviousStep2,goal3Completions,goal5Completions
2019-01-10,/enquire/thank-you-for-your-enquiry/,/courses/,/enquire/,0,0
2019-01-10,/enquire/thank-you-for-your-enquiry/,/for-employers/become-a-partner/,/for-employers/,0,1
2019-01-10,/updates/newsletter-thank-you/,/,/courses/professional-software-development/application-and-dates/,0,0
2019-01-11,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/professional-software-development/curriculum/,1,0
2019-01-11,/courses/thank-you-for-your-application/,/courses/professional-software-development/apply/course_application_2,/courses/professional-software-development/apply/course_application_1,0,0
2019-01-11,/enquire/thank-you-for-your-enquiry/,/,/enquire/,0,0
2019-01-11,/updates/newsletter-thank-you/,/blog/why-learn-coding/,/,0,0
2019-01-12,/courses/thank-you-for-joining-our-short-course/,/courses/understanding-programming/,/courses/bespoke-courses/,0,0
2019-01-13,/updates/newsletter-thank-you/,/,(entrance),2,0
2019-01-14,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/,0,0
2019-01-14,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/professional-software-development/cost-and-funding/,0,0
2019-01-14,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/professional-software-development/curriculum/,0,0
2019-01-14,/courses/thank-you-for-joining-our-short-course/,(entrance),(not set),0,0
2019-01-14,/courses/thank-you-for-your-application/,(entrance),(not set),0,0
2019-01-14,/courses/thank-you-for-your-application/,/courses/professional-software-development/apply/course_application_2,/courses/professional-software-development/apply/course_application_1,0,0
2019-01-14,/enquire/thank-you-for-your-enquiry/,/enquire/,/codeclan-store/,0,1
2019-01-14,/enquire/thank-you-for-your-enquiry/,/enquire/,/data-protection/,1,0
2019-01-14,/enquire/thank-you-for-your-enquiry/,/for-employers/become-a-partner/,/for-employers/,0,0
2019-01-15,/courses/thank-you-for-your-application/,(entrance),(not set),0,0
2019-01-15,/enquire/thank-you-for-your-enquiry/,/enquire/,/,0,0
2019-01-15,/enquire/thank-you-for-your-enquiry/,/for-employers/become-a-partner/,/,0,0
2019-01-15,/updates/newsletter-thank-you/,/,/admissions-track/,0,1
2019-01-16,/courses/professional-software-development/thank-you-syllabus-download/,(entrance),(not set),1,0
2019-01-16,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/professional-software-development/cost-and-funding/,1,0
2019-01-16,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/professional-software-development/curriculum/,0,0
2019-01-16,/courses/thank-you-for-your-application/,/courses/professional-software-development/apply/course_application_2,/courses/professional-software-development/apply/course_application_1,0,0
2019-01-16,/enquire/thank-you-for-your-enquiry/,/enquire/,/courses/browse-all-course-dates/,0,0
2019-01-16,/enquire/thank-you-for-your-enquiry/,/for-employers/become-a-partner/,/for-employers/hire-with-codeclan/,1,0
2019-01-16,/updates/newsletter-thank-you/,/,(entrance),0,0
2019-01-16,/updates/newsletter-thank-you/,/,/admissions-track/,0,0
2019-01-17,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/professional-software-development/application-and-dates/,1,0
2019-01-17,/courses/thank-you-for-joining-our-short-course/,/courses/r-programming/,(entrance),0,0
2019-01-17,/courses/thank-you-for-joining-our-short-course/,/courses/r-programming/,/,0,0
2019-01-17,/courses/thank-you-for-joining-our-short-course/,/courses/r-programming/,/courses/,0,0
2019-01-17,/courses/thank-you-for-your-application/,(entrance),(not set),0,0
2019-01-17,/courses/thank-you-for-your-application/,/courses/professional-software-development/apply/course_application_2,/courses/professional-software-development/apply/course_application_1,1,0
2019-01-17,/enquire/thank-you-for-your-enquiry/,(entrance),(not set),0,1
2019-01-17,/enquire/thank-you-for-your-enquiry/,/courses/professional-software-development/,/enquire/,0,1
2019-01-17,/enquire/thank-you-for-your-enquiry/,/enquire/,/courses/understanding-programming/,0,1
2019-01-17,/updates/newsletter-thank-you/,/blog/,/,0,0
2019-01-17,/updates/newsletter-thank-you/,/events/,/events/info-taster-session-events/,1,0
2019-01-18,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/professional-software-development/curriculum/,0,0
2019-01-18,/courses/thank-you-for-your-application/,/courses/professional-software-development/apply/course_application_2,/courses/professional-software-development/apply/course_application_1,0,0
2019-01-18,/enquire/thank-you-for-your-enquiry/,/courses/bespoke-courses/,(entrance),0,1
2019-01-19,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/,0,0
2019-01-19,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/professional-software-development/cost-and-funding/,0,0
2019-01-19,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/professional-software-development/curriculum/,0,0
2019-01-20,/courses/professional-software-development/thank-you-syllabus-download/,(entrance),(not set),0,0
2019-01-20,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/,1,0
2019-01-20,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,/courses/professional-software-development/cost-and-funding/,0,0
2019-01-20,/courses/thank-you-for-your-application/,/courses/professional-software-development/apply/course_application_2,/courses/professional-software-development/apply/course_application_1,0,0
2019-01-21,/courses/professional-software-development/thank-you-syllabus-download/,(entrance),(not set),0,0
2019-01-21,/courses/professional-software-development/thank-you-syllabus-download/,/courses/professional-software-development/,(entrance),0,0
